airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended,cleaned_review
Turkish Airlines,1.0,J Langevi,26th April 2019,"Not Verified | New York to Erbil via Istanbul. They have the worst customer service. My initial leg was delayed due to weather so I was going to miss my connection. Turkish Airlines did nothing to help - in fact finding someone with Turkish Airlines to assist is a feat in itself. TA kept passing the blame. Bottom line - if any segment of your Turkish Airlines flights causes a delay then you are SOL when it comes to TA. Plan on spending a lot more money and flying another airline because Turkish Airlines will not assist you and they will keep your money. The ""customer service"" is a joke - they read from scripts and keep repeating the same paragraph - almost like robots. They also tell you to send an email - it is just a stalling tactic.",,Business,Economy Class,New York to Erbil via Istanbul,April 2019,1.0,1.0,,,1.0,1.0,no,not verified new york to erbil via istanbul they have the worst customer service my initial leg was delayed due to weather so i was going to miss my connection turkish airlines did nothing to help - in fact finding someone with turkish airlines to assist is a feat in itself ta kept passing the blame bottom line - if any segment of your turkish airlines flights causes a delay then you are sol when it comes to ta plan on spending a lot more money and flying another airline because turkish airlines will not assist you and they will keep your money the customer service is a joke - they read from scripts and keep repeating the same paragraph - almost like robots they also tell you to send an email - it is just a stalling tactic
Turkish Airlines,1.0,M Farsalou,25th April 2019,"âœ… Trip Verified | Tehran to New York via Istanbul. Terrible experience and terrible customer service! Will never fly again. I tried to change my flight date, called the airline and they made the changes. Told me I would be getting a confirmation email after I hang up (Never received it). I called back, submitted my request again and was told that someone would get back to me in at most 7 days (Never happened again). I called back (this was 3 days to the actual flight date), was told I need to go to a Airline office to make a change!. The closest office to me is 250 miles away. Also, there was a schedule change on the ticket that I did not confirm. When I called, I was told that I would not get charged the penalty, I ended up getting charged+the fare difference (almost 500$). In addition to the trip cost (200$) for a one way trip. So this has never happened before with any other airline. It would have been easier to cancel and buy a new flight which would have cost me around $800 for a two way.",,Family Leisure,Economy Class,Tehran to New York via Istanbul,October 2018,4.0,4.0,4.0,3.0,1.0,1.0,no,tehran to new york via istanbul terrible experience and terrible customer service! will never fly again i tried to change my flight date called the airline and they made the changes told me i would be getting a confirmation email after i hang up never received it i called back submitted my request again and was told that someone would get back to me in at most days never happened again i called back this was days to the actual flight date was told i need to go to a airline office to make a change! the closest office to me is miles away also there was a schedule change on the ticket that i did not confirm when i called i was told that i would not get charged the penalty i ended up getting chargedthe fare difference almost in addition to the trip cost for a one way trip so this has never happened before with any other airline it would have been easier to cancel and buy a new flight which would have cost me around for a two way
Turkish Airlines,1.0,N Kalakis,25th April 2019,"âœ… Trip Verified | Belgrade to Athens via Istanbul. My first flight departed with delay from Belgrade due to local weather conditions in Istanbul. I requested for a connection assistance in order to catch my second flight but the airline did not provide me such assistance. I managed to arrive at the gate of departure of my second flight while boarding was not completed and while the screen mentioned 'last call' but I was denied boarding because 'the system had unchecked me from the second flight due to late arrival of my previous plane'. People were boarding in front of my eyes on the plane. The Turkish Airlines officer deceivingly told me to go to another gate (215) because another plane was waiting for me. He just got rid of me. Gate 215 was near the rebooking office of Turkish Airlines for the issuance of new tickets. Although I was condemned to stay overnight at the airport, I was not proposed hotel accommodation or a meal. I was put on another flight departing next morning without even offered the possibility to select my checked seat (the officer rejected my request for an aisle position despite the fact that the plane was half-empty!). I filled a complaint form for denial of boarding and they replied that they are not responsible for a flight delay due to weather conditions. Turkish Airlines maybe is a large company but it manages these type of routine problems poorly as a low budget airline.",,Business,Economy Class,Belgrade to Athens via Istanbul,March 2019,4.0,4.0,4.0,,1.0,1.0,no,belgrade to athens via istanbul my first flight departed with delay from belgrade due to local weather conditions in istanbul i requested for a connection assistance in order to catch my second flight but the airline did not provide me such assistance i managed to arrive at the gate of departure of my second flight while boarding was not completed and while the screen mentioned last call but i was denied boarding because the system had unchecked me from the second flight due to late arrival of my previous plane people were boarding in front of my eyes on the plane the turkish airlines officer deceivingly told me to go to another gate because another plane was waiting for me he just got rid of me gate was near the rebooking office of turkish airlines for the issuance of new tickets although i was condemned to stay overnight at the airport i was not proposed hotel accommodation or a meal i was put on another flight departing next morning without even offered the possibility to select my checked seat the officer rejected my request for an aisle position despite the fact that the plane was half-empty! i filled a complaint form for denial of boarding and they replied that they are not responsible for a flight delay due to weather conditions turkish airlines maybe is a large company but it manages these type of routine problems poorly as a low budget airline
Turkish Airlines,1.0,Vlad Perepichka,25th April 2019,"âœ… Trip Verified | Dublin to Tel Aviv via Ä°stanbul. First of all our flight was delayed for over an hour, but thatâ€™s fine we crossed that bridge, then when we arrived in Ä°stanbul airport we were told that we missed our connection flight. Ridiculous considering the fact the tickets were bought from Turkish Airlines and not from different companies, ok, 10 minutes of talking to customer service and we got new tickets from Ä°stanbul to Tel Aviv (not same comfortable plane as it supposed to be but still something) Arriving in Tel Aviv we found our 3 bags on the belt but so called oversized bag (which was actually a doll birthday box for my daughter) was missing almost 2 hours waiting for it to be found (no luck) then another half an hour of registering with lost&found made us exhausted (myself my husband and 2 kids aged 3 and 5 at 5am in the morning is no fun at all) We supposed to pick up our rental car in between 3-4am and when we came to get it apparently the car was gone to another customer because we were late. We had no choice but get another more expensive car that was available (I think Turkish airlines should be liable for that as well) We registered lost baggage gave the address and phone number in Petah and asked them to deliver it there as we were going to Eilat for a few days. I was pretty much confident that should be no problem with contact details. I was 5 days later arriving back to Tel Aviv and with no contact from lost&found I rang them to see whatâ€™s the story and I was shocked when I heard that my baggage was delivered to me the following day! Where? When? To who? The answer was simple we have in our system that you baggage left to Eilat next day and was delivered to the hotel so we are really sorry but you have to get it yourself from there! How come they left my baggage in the hotel without notifying me? Answer was: Delivery company rang you but there was no answer. Left a message? I doubt it I think itâ€™s pure lies) Anyway I said I want my baggage back please get it to me! Oh you know it might take couple of days. Fine I said just get it please! Few days later I rang again because nothing came and find out that delivery man came to the hotel in Eilat asked for me but because me and my spouse have different surnames he was told that thereâ€™s no such person registered (but then the question is how could he leave it there if he was told the person is not there) Again I was promised that few days later I will get it. As you can imagine I didnâ€™t. Rang again today asked for the manager (was told the manager is in holiday) got to speak to supervisor and what a surprise she said that the baggage is not in the hotel in Eilat but in airport Eilat and because itâ€™s holiday (Pesah) the airport is closed and they canâ€™t get it. And she said you know itâ€™s your fault that it went to Eilat. When I asked her name she refused to give and hanged up on me.",,Family Leisure,Economy Class,Dublin to Tel Aviv via Ä°stanbul,April 2019,2.0,5.0,4.0,4.0,2.0,3.0,no,dublin to tel aviv via stanbul first of all our flight was delayed for over an hour but thats fine we crossed that bridge then when we arrived in stanbul airport we were told that we missed our connection flight ridiculous considering the fact the tickets were bought from turkish airlines and not from different companies ok minutes of talking to customer service and we got new tickets from stanbul to tel aviv not same comfortable plane as it supposed to be but still something arriving in tel aviv we found our bags on the belt but so called oversized bag which was actually a doll birthday box for my daughter was missing almost hours waiting for it to be found no luck then another half an hour of registering with lostfound made us exhausted myself my husband and kids aged and at am in the morning is no fun at all we supposed to pick up our rental car in between -am and when we came to get it apparently the car was gone to another customer because we were late we had no choice but get another more expensive car that was available i think turkish airlines should be liable for that as well we registered lost baggage gave the address and phone number in petah and asked them to deliver it there as we were going to eilat for a few days i was pretty much confident that should be no problem with contact details i was days later arriving back to tel aviv and with no contact from lostfound i rang them to see whats the story and i was shocked when i heard that my baggage was delivered to me the following day! where when to who the answer was simple we have in our system that you baggage left to eilat next day and was delivered to the hotel so we are really sorry but you have to get it yourself from there! how come they left my baggage in the hotel without notifying me answer was delivery company rang you but there was no answer left a message i doubt it i think its pure lies anyway i said i want my baggage back please get it to me! oh you know it might take couple of days fine i said just get it please! few days later i rang again because nothing came and find out that delivery man came to the hotel in eilat asked for me but because me and my spouse have different surnames he was told that theres no such person registered but then the question is how could he leave it there if he was told the person is not there again i was promised that few days later i will get it as you can imagine i didnt rang again today asked for the manager was told the manager is in holiday got to speak to supervisor and what a surprise she said that the baggage is not in the hotel in eilat but in airport eilat and because its holiday pesah the airport is closed and they cant get it and she said you know its your fault that it went to eilat when i asked her name she refused to give and hanged up on me
Turkish Airlines,2.0,Trevor Khurana,24th April 2019,"âœ… Trip Verified | Houston to Kiev via Istanbul. Fares seem competitive, but there is a catch in terms of layover time. Mine from Houston to Kiev Via Istanbul had a return leg layover of 14 hours and though TK website says that a layover of over a certain hours gets a complimentary hotel stay. But there is a fine print somewhere which they always get a disqualified citing some wired â€œrulesâ€ that I, even as a frequent traveler cannot comprehend. Another notable difference in Turkey is that there are endless and multiple security checks, and one wonders if one is going through a war zone . Lines at security checks and passport control ( yes, if you need to stay at a hotel for a long layover, one needs to get an e-VISA just to get out, check into a hotel and get back to airport to catch the connecting flight). Ended up paying way more than if I had chosen other airlines like LH or SAS, which I will keep in mind next time",Boeing 777-300,Solo Leisure,Economy Class,Houston to Kiev via Istanbul,March 2019,1.0,3.0,2.0,2.0,1.0,1.0,no,houston to kiev via istanbul fares seem competitive but there is a catch in terms of layover time mine from houston to kiev via istanbul had a return leg layover of hours and though tk website says that a layover of over a certain hours gets a complimentary hotel stay but there is a fine print somewhere which they always get a disqualified citing some wired rules that i even as a frequent traveler cannot comprehend another notable difference in turkey is that there are endless and multiple security checks and one wonders if one is going through a war zone lines at security checks and passport control yes if you need to stay at a hotel for a long layover one needs to get an e-visa just to get out check into a hotel and get back to airport to catch the connecting flight ended up paying way more than if i had chosen other airlines like lh or sas which i will keep in mind next time
Turkish Airlines,3.0,Ricardo Ribeiro,23rd April 2019,"âœ… Trip Verified | Tashkent to Istanbul. A poor experience with Turkish Airlines. The guy who seemed to be the cabin chief was acting in a very extremely rude way towards the passengers, almost yelling at them, mostly hurrying people to sit down quickly. Very unprofessional. The tightest space for seating I experienced, apart from a low cost carrier in Indonesia. A mess with luggage, clearly too many volumes allowed onboard.",,Solo Leisure,Economy Class,Tashkent to Istanbul,April 2019,1.0,1.0,3.0,4.0,1.0,1.0,no,tashkent to istanbul a poor experience with turkish airlines the guy who seemed to be the cabin chief was acting in a very extremely rude way towards the passengers almost yelling at them mostly hurrying people to sit down quickly very unprofessional the tightest space for seating i experienced apart from a low cost carrier in indonesia a mess with luggage clearly too many volumes allowed onboard
Turkish Airlines,8.0,Bojana Keserovic,22nd April 2019,"âœ… Trip Verified | Istanbul to Prague. The crew was very polite. Wide seats, good entertainment and I like the safety video. I had a morning flight so they served breakfast. Food was on point and delicious. The only bad remark is that they don't serve cold beverages on their second round of stroll.",,Solo Leisure,Economy Class,Istanbul to Prague,April 2019,5.0,5.0,4.0,5.0,4.0,4.0,yes,istanbul to prague the crew was very polite wide seats good entertainment and i like the safety video i had a morning flight so they served breakfast food was on point and delicious the only bad remark is that they dont serve cold beverages on their second round of stroll
Turkish Airlines,5.0,Gyan Fernando,21st April 2019,âœ… Trip Verified | Nakhchivan to Istanbul. The flight set off a little bit late and boarding was disorderly with too many passengers carrying oversized baggage on board. The aircraft appeared to be old with drop-down screens for entertainment which were virtually useless. Cabin service was not very good and staff appeared not to care.,Boeing 737-800,Solo Leisure,Economy Class,Nakhchivan to Istanbul,April 2019,2.0,2.0,3.0,1.0,2.0,3.0,yes,nakhchivan to istanbul the flight set off a little bit late and boarding was disorderly with too many passengers carrying oversized baggage on board the aircraft appeared to be old with drop-down screens for entertainment which were virtually useless cabin service was not very good and staff appeared not to care
Turkish Airlines,7.0,Gyan Fernando,21st April 2019,âœ… Trip Verified | London Heathrow to Istanbul. The flight from LHR took off on time. Boarding was hassle free. Seating was 3x3x3. Legroom was average but I had an emergency exit row seat. Cabin service was average with not many smiles. The flight was smooth as was the landing.,Boeing 777-300ER,Solo Leisure,Economy Class,London Heathrow to Istanbul,April 2019,4.0,3.0,3.0,3.0,4.0,4.0,yes,london heathrow to istanbul the flight from lhr took off on time boarding was hassle free seating was xx legroom was average but i had an emergency exit row seat cabin service was average with not many smiles the flight was smooth as was the landing
Turkish Airlines,7.0,S Tekin,20th April 2019,âœ… Trip Verified | Istanbul to Trabzon. Boarding was fast. I thought flight will be on time but no! Taxi took forever. We've waited 40 minutes to take-off. Don't remember if I've heard any explanation from cabin crew. I'd prefer 60 minutes at airport to 40 minutes at a plane seat. Cabin crew was good. Sandwich and drink giveaway was nice. Cheap price.,,Solo Leisure,Economy Class,Istanbul to Trabzon,April 2019,4.0,4.0,4.0,,4.0,4.0,yes,istanbul to trabzon boarding was fast i thought flight will be on time but no! taxi took forever weve waited minutes to take-off dont remember if ive heard any explanation from cabin crew id prefer minutes at airport to minutes at a plane seat cabin crew was good sandwich and drink giveaway was nice cheap price
Turkish Airlines,8.0,S Tekin,20th April 2019,"âœ… Trip Verified | Izmir to Istanbul. It was my first Boeing 777 experience. They gave a free hot sandwich with cheese and vegetables and a drink. Hot and cold options were rich. Cold ones weren't very cold but you can add some ice to them. Plane was really big and crowded yet there were no problem with fresh air and air conditioning. Well, maybe one. One of the cabins leaked some water to a passenger. They suddenly suggested he change his seat, he refused. Flight on time, good cabin crew. And this time, it was extremely cheap.",Boeing 777,Solo Leisure,Economy Class,Izmir to Istanbul,April 2019,4.0,5.0,4.0,4.0,5.0,5.0,yes,izmir to istanbul it was my first boeing experience they gave a free hot sandwich with cheese and vegetables and a drink hot and cold options were rich cold ones werent very cold but you can add some ice to them plane was really big and crowded yet there were no problem with fresh air and air conditioning well maybe one one of the cabins leaked some water to a passenger they suddenly suggested he change his seat he refused flight on time good cabin crew and this time it was extremely cheap
Turkish Airlines,1.0,Rohit Malu,18th April 2019,âœ… Trip Verified | New Delhi to Cappadocia via Istanbul. I took a flight from New Delhi 6:15pm on 16th April it got delayed by 1.5hours and flew at 7:50pm. I had a connecting flight at 12:20pm on 16th April to Cappadocia from Istanbul but as I reached late due to delay from this airline I missed my flight. They gave me a flight for 11:30 pm without providing any hotel accommodations. Later I had to force them to give me a earlier flight as I was tired so they gave me a flight for 8:35pm TK 2018 which also was delayed and the flight departed at 10:50pm. I some how was happy that at least I reached Cappadocia but my whole day and hotel booking was wasted. I went to pick my luggage but as to my surprise my luggage did not arrive and I was told itâ€™s arriving in the next flight and they shall have it sent to my hotel. I came to my hotel and not itâ€™s about 4pm on 17th April and my luggage has still not arrived even after making several calls. This airline has charged me a lot without giving any good service or facility. I would highly recommend not to book Turkish Airlines ever to any one unless they want to waste their time and money. Donâ€™t know when will my luggage arrive and till when I have to sit in my hotel and waste time as I cannot freshen up unless I get my clothes and got out to see this city.,,Family Leisure,Economy Class,New Delhi to Cappadocia via Istanbul,April 2019,1.0,1.0,1.0,1.0,1.0,1.0,no,new delhi to cappadocia via istanbul i took a flight from new delhi pm on th april it got delayed by hours and flew at pm i had a connecting flight at pm on th april to cappadocia from istanbul but as i reached late due to delay from this airline i missed my flight they gave me a flight for pm without providing any hotel accommodations later i had to force them to give me a earlier flight as i was tired so they gave me a flight for pm tk which also was delayed and the flight departed at pm i some how was happy that at least i reached cappadocia but my whole day and hotel booking was wasted i went to pick my luggage but as to my surprise my luggage did not arrive and i was told its arriving in the next flight and they shall have it sent to my hotel i came to my hotel and not its about pm on th april and my luggage has still not arrived even after making several calls this airline has charged me a lot without giving any good service or facility i would highly recommend not to book turkish airlines ever to any one unless they want to waste their time and money dont know when will my luggage arrive and till when i have to sit in my hotel and waste time as i cannot freshen up unless i get my clothes and got out to see this city
